City_ID,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
213,uturoa,81.99,79,22,10.85,1740862116,PF,-151.4333,-16.7333
214,papao,87.48,77,37,13.29,1740862116,PF,-149.55,-17.75
215,beitbridge,80.87,52,12,9.15,1740862116,ZW,30.0,-22.2167
216,ust'-ordynskiy,-11.15,99,91,4.9,1740862116,RU,104.7508,52.805
217,los aquijes,84.63,50,100,12.57,1740862117,PE,-75.6908,-14.0967
218,qarah bagh,29.14,79,70,13.94,1740862117,AF,61.7759,34.9402
219,utrik,79.3,68,79,14.85,1740862117,MH,169.8474,11.2278
220,east london,74.7,86,35,5.32,1740861890,ZA,27.9116,-33.0153
221,malango,66.22,98,82,2.55,1740862118,ID,119.9001,-2.9627
222,lincheng,68.0,87,7,2.48,1740862118,CN,109.6858,19.9078
223,moquegua,71.29,72,98,12.21,1740862118,PE,-70.9353,-17.1956
224,murzuq,62.06,26,0,7.72,1740862119,LY,13.9184,25.9155
225,okha,5.92,96,100,6.42,1740862119,RU,142.9478,53.5739
226,port lincoln,65.62,70,99,9.62,1740862119,AU,135.8667,-34.7333
227,pandan,77.79,89,100,13.44,1740862119,PH,124.1694,14.0453
228,novodvinsk,29.95,97,100,2.44,1740862120,RU,40.8122,64.4165
229,alice springs,74.75,23,5,8.05,1740862120,AU,133.8833,-23.7
230,esqueda,75.27,10,100,30.91,1740862120,MX,-109.5833,30.7167
231,abatskoye,23.95,96,100,7.4,1740862120,RU,70.4555,56.2875
232,harstad,34.43,91,79,8.99,1740862120,NO,16.5293,68.799
233,mount pearl,30.9,67,20,12.66,1740862121,CA,-52.7813,47.5166
234,cestos city,79.97,88,33,7.05,1740862121,LR,-9.5828,5.46
235,tura,66.51,55,29,5.21,1740862121,IN,90.2201,25.5198
236,kenora,13.17,44,0,9.22,1740861959,CA,-94.4337,49.8167
237,bentiu,90.1,15,3,9.89,1740862121,SS,29.8333,9.2333
238,arraial do cabo,84.06,70,40,19.57,1740862122,BR,-42.0278,-22.9661
239,cortez,62.78,14,0,6.91,1740862122,US,-108.5859,37.3489
240,ust-tsilma,25.48,98,100,3.53,1740862122,RU,52.1498,65.441
241,nar'yan-mar,-2.65,99,94,7.4,1740862122,RU,53.087,67.6713
242,howard springs,77.11,100,11,3.94,1740862123,AU,131.047,-12.497
243,rio grande,85.26,69,47,6.33,1740862123,BR,-52.0986,-32.035
244,kirakira,81.36,84,54,2.93,1740862123,SB,161.9205,-10.4544
245,happy valley-goose bay,3.51,60,100,3.44,1740862123,CA,-60.3315,53.3168
246,alakurtti,27.1,97,100,4.43,1740862123,RU,30.3491,66.9672
247,simcoe,20.12,72,100,21.23,1740862124,CA,-80.2997,42.8334
248,pierre,36.52,44,0,15.99,1740861876,US,-100.351,44.3683
249,jucas,79.9,70,100,3.44,1740862124,BR,-39.5275,-6.5253
250,flying fish cove,80.28,89,100,6.91,1740862125,CX,105.6791,-10.4217
251,jilib,77.23,85,5,9.28,1740862125,SO,42.7854,0.4883
252,deschutes river woods,61.07,33,0,1.99,1740862125,US,-121.3584,43.9915
253,udachny,-47.02,100,94,1.52,1740862125,RU,112.4,66.4167
254,lerwick,45.72,82,100,28.1,1740862125,GB,-1.1494,60.1545
255,niquero,84.43,62,37,8.14,1740862126,CU,-77.5828,20.0431
256,santana,77.18,94,100,8.05,1740862126,BR,-51.1817,-0.0583
257,fujin,-8.18,86,5,9.62,1740862126,CN,132.0322,47.26
258,konarka,75.24,78,3,10.6,1740862127,IN,86.1167,19.9
259,lorengau,79.79,83,98,3.85,1740862127,PG,147.2712,-2.0226
260,soio,79.52,84,100,6.26,1740862127,AO,12.3689,-6.1349
261,quellon,56.53,89,100,8.77,1740862128,CL,-73.6167,-43.1167
262,dakhla,62.62,82,0,12.66,1740862128,EH,-15.958,23.6848
263,madinat ash shamal,62.6,54,1,12.5,1740862128,QA,51.2009,26.1293
264,sparti,53.94,94,35,1.12,1740862128,GR,22.4297,37.0733
265,trongsa,37.08,89,100,1.68,1740862128,BT,90.5072,27.5026
266,invercargill,57.02,100,98,1.01,1740862129,NZ,168.35,-46.4
