City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,porto de moz,-1.7483,-52.2383,26.9,92,99,1.84,BR,1741120016
263,toamasina,-18.1667,49.3833,27.0,89,40,2.06,MG,1741120017
264,luanda,-8.8368,13.2343,27.0,83,40,4.63,AO,1741119817
265,cova figueira,14.8905,-24.2934,15.05,68,98,4.69,CV,1741120019
266,mossel bay,-34.1831,22.146,21.14,92,48,3.22,ZA,1741120021
267,shetpe,44.1667,52.1167,-0.7,95,94,4.25,KZ,1741120022
268,grand-bassam,5.2118,-3.7388,27.98,84,100,4.22,CI,1741120023
269,fort bragg,35.139,-79.006,21.57,44,75,4.12,US,1741120024
270,callao,-12.0667,-77.15,25.16,69,0,4.63,PE,1741119762
271,robore,-18.3333,-59.75,28.05,78,40,0.0,BO,1741120026
272,nouadhibou,20.931,-17.0347,18.99,77,54,5.14,MR,1741120027
273,kununurra,-15.7667,128.7333,26.99,89,30,1.54,AU,1741120028
274,villa luvianos,18.9167,-100.4,31.58,13,26,2.85,MX,1741120030
275,tolanaro,-25.0319,46.9987,26.04,94,75,2.06,MG,1741120031
276,aliveri,38.4167,24.0333,9.12,63,54,7.39,GR,1741120032
277,belomorsk,64.5232,34.7668,-3.51,97,81,2.82,RU,1741120032
278,revelstoke,50.9832,-118.2023,6.01,65,0,2.06,CA,1741120034
279,kingscliff,-28.2667,153.5667,23.89,73,75,10.8,AU,1741120035
280,asau,46.4333,26.4,1.96,78,0,3.35,RO,1741120036
281,lompoc,34.6391,-120.4579,18.41,62,0,3.6,US,1741120038
282,timbuktu,16.7735,-3.0074,32.91,14,11,3.42,ML,1741120039
283,klyuchi,52.2667,79.1667,-8.16,96,100,2.95,RU,1741120040
284,anicuns,-16.4611,-49.9617,27.28,67,100,1.75,BR,1741120001
285,harstad,68.799,16.5293,0.23,83,98,0.89,NO,1741120043
286,newcastle,-32.9272,151.7765,23.17,84,20,5.66,AU,1741119769
287,almyros,39.1822,22.7594,4.73,81,0,2.06,GR,1741120022
288,shiguai,40.7058,110.2856,-1.08,87,82,2.26,CN,1741120047
289,chamba,32.5667,76.1333,5.09,68,0,5.47,IN,1741120048
290,tromso,69.6496,18.957,1.01,93,75,1.54,NO,1741120049
291,hadibu,12.65,54.0333,25.11,75,34,4.81,YE,1741120050
292,ciudad bolivar,8.1222,-63.5497,37.82,25,34,1.09,VE,1741120052
293,ilebo,-4.3167,20.5833,24.08,85,52,0.68,CD,1741120053
294,awjilah,29.1081,21.2869,16.84,42,13,3.36,LY,1741120055
295,san antonio de pale,-1.4014,5.6325,27.79,71,100,2.44,GQ,1741120056
296,glace bay,46.1969,-59.957,-2.23,51,20,3.13,CA,1741120057
297,loudi,27.7344,111.9944,3.38,87,98,1.27,CN,1741120058
298,kentau,43.5206,68.5094,-1.48,65,100,3.13,KZ,1741120059
299,greenwood,34.1668,-82.1165,20.46,58,75,5.14,US,1741120060
300,khovd,48.0056,91.6419,-14.69,100,100,0.76,MN,1741120061
301,axim,4.8699,-2.2405,27.25,85,100,4.43,GH,1741120064
302,lathi,21.7167,71.3833,21.39,13,0,5.26,IN,1741120065
303,port lincoln,-34.7333,135.8667,19.28,81,0,7.97,AU,1741120066
304,utrik,11.2278,169.8474,26.74,78,4,8.59,MH,1741120067
305,nova vicosa,-17.8919,-39.3719,27.21,71,1,3.56,BR,1741120068
306,dunedin,-45.8742,170.5036,10.45,82,35,0.89,NZ,1741120069
307,cockermouth,54.6621,-3.3609,7.01,95,100,6.71,GB,1741120070
308,puerto aysen,-45.4,-72.7,10.0,96,100,3.0,CL,1741120072
309,champerico,14.3,-91.9167,30.21,57,59,7.31,GT,1741120073
310,magadan,59.5667,150.8,-17.37,96,100,3.37,RU,1741120074
311,griffith,41.5284,-87.4237,6.92,76,100,2.57,US,1741120075
312,sidney,-33.8679,151.2073,20.61,84,75,5.66,AU,1741119793
313,padre bernardo,-15.35,-48.5,30.1,41,100,2.2,BR,1741120077
314,nchelenge,-9.3451,28.734,22.51,84,4,2.0,ZM,1741120078
315,saldanha,-33.0117,17.9442,18.39,93,0,7.84,ZA,1741120079
316,ujae,8.9322,165.7642,27.41,72,67,8.81,MH,1741120081
317,orcopampa,-15.2661,-72.3417,11.8,75,100,2.34,PE,1741120082
318,beyneu,45.3167,55.2,-6.9,89,24,4.34,KZ,1741120083
319,prince rupert,54.3161,-130.3201,8.05,77,100,2.57,CA,1741120084
320,chulakkurgan,43.765,69.1814,-5.09,75,100,1.32,KZ,1741120085
321,lau,9.2167,11.2833,31.76,15,16,1.32,NG,1741120086
322,fuxin,42.0156,121.6589,-2.54,45,16,0.67,CN,1741119820
323,xam nua,20.4197,104.0439,17.48,42,90,1.59,LA,1741120088
324,val-d'or,48.1002,-77.7828,0.05,86,100,3.6,CA,1741120090
325,alice springs,-23.7,133.8833,21.75,28,0,0.0,AU,1741120091
